name,S_lat,S_lon,D_lat,D_lon
ALGO,45.95580011596349,-78.07136686649137,46.071547868679325,-78.04110561165608
ARAU,6.450158663124262,100.27973797024838,6.4558219263159975,100.16353835498516
BABH,5.146659192249294,100.49366227220888,4.867827707015073,100.93759144296585
BAKO,-6.491054121052562,106.84890925482179,-6.52519439832445,106.76667083608024
BANT,2.82595632946701,101.53735181108584,2.6711702132093773,101.94123385889168
BEHR,3.7653703766628124,101.51721244426717,3.7948737810490454,101.37765777244859
BINT,3.261507222141342,113.06721946899808,3.1474644202726787,112.91213617345926
BKPL,5.3389867529756545,100.21836209854246,4.9718368331757405,100.6459397624842
BNKK,13.668435136752354,100.60665539664564,13.68377469437647,100.54948779266164
COCO,-12.188350102805673,96.8339664146847,-11.898848017834313,96.56875677909873
DARW,-12.843707848474246,131.1327374081021,-11.752623709436556,130.4812467067155
DGAR,-7.26968607157707,72.37023774600512,-6.863327827856253,71.75401104966791
FAIR,64.97800087598732,-147.49923881784684,64.92663581977892,-147.45083329292515
GETI,6.226192633996059,102.10546302607337,6.18810234640534,102.06126945993343
GMUS,4.862974461633606,101.96379513419068,4.691902600290143,102.31556983955564
GOLD,35.425156128686666,-116.88924929666882,35.461420805281676,-116.82887769561717
GRIK,5.439012377994351,101.13027626419876,5.2134379335375405,101.52126354941356
GUAM,13.589329296289296,144.86836154728988,13.574393206590916,144.8510268909129
HYDE,17.417257579107545,78.55086828343157,17.47659435726516,78.50649849558773
IISC,13.021164084147264,77.57037339886443,13.074303688863798,77.46126750121454
IPOH,4.588471436065569,101.12617682454471,4.545135803649694,101.10276901019121
JHJY,1.5368104348410196,103.79653191451128,1.5230950758258435,103.90267857930242
JUIP,4.600403889141998,101.09059932069614,4.3035438545876845,101.45563024884724
JUML,2.211754478315107,102.25609872987123,2.143450709340953,102.50770218261012
KARR,-20.981433552702832,117.09718885896793,-20.792527573843266,116.91103592057063
KERG,-49.35146666048529,70.25552162994641,-49.39757352814245,70.14977389937427
KINA,5.9046044234138675,116.03929750828549,5.900152594508351,115.93396190671093
KKBH,3.5607136932305554,101.65864483997187,3.4065442303679365,101.98174633219968
KLAW,2.9815093045275147,102.06366771015709,2.8538811907833987,102.37659431212123
KLUG,2.0253781401284945,103.31681259006372,1.9842640060312524,103.49328401420406
KOKB,22.126260917916174,-159.6649242732683,22.189214445640292,-159.52200849272504
KOSG,52.17842593248822,5.809642439401151,52.21234888759984,5.801139755510852
KTPK,3.170943989295806,101.71760825091818,3.1227819875757192,101.71312948689186
KUAL,5.318889585901158,103.1391457348444,5.266140662005651,102.99688778542405
KUAN,3.834378280243932,103.35035240010127,3.797551349405758,103.25729650111482
KUCH,1.6323993472274938,110.19509089740242,1.5603556835261005,110.03461849403695
KUKP,1.3332750844314094,103.45343325461384,1.3131102514613384,103.5490482158957
KUNM,25.029539864626614,102.79719375445967,25.002380861580107,102.65837855512433
LABU,5.282671345533685,115.2447864066798,5.222549829767842,115.15550963936761
LGKW,6.328502511686791,99.8512632098503,5.967382853510257,100.35002412508545
LHAS,29.657339902352682,91.10398769207323,29.78634602280554,90.76205673918808
MARG,5.026600290634887,103.29455908775074,4.947862179936747,103.52546321556886
MERS,2.453467282608421,103.82875267596768,2.415515362335305,103.95973000628254
MERU,3.138236742075827,101.40745743673689,2.9765085059392447,101.8660215993789
MIRI,4.372101202958082,114.00174187003238,4.337199930419392,113.94618252624007
MKEA,19.80135201283133,-155.45633662016425,19.885107820454095,-155.29851174166478
NTUS,1.3458023800165184,103.67995585745413,1.2834945334675927,103.49210241265448
ONSA,57.39529810898711,11.925515698034276,57.42798206586139,11.875740482085321
PEKN,3.4925974812389184,103.38969141542242,3.4221292276732043,103.57440034623954
PERT,-31.80196888356758,115.88524832916158,-31.67187426582242,115.75039203236537
PHKT,8.104827592533669,98.3080250532019,8.08697345036896,98.20924642525807
PIMO,14.635719520139597,121.07773328639549,14.64151346279858,121.11580327089366
PUPK,4.20699397356342,100.55924389608651,3.8732791711049464,101.0774320764516
RTPJ,6.00336306147416,101.99146666074775,5.890993140772422,102.25398249381932
RTSD,13.760308747532038,100.50741040218027,13.762162254213509,100.53013297267212
RYNG,12.764419356413613,101.03280022120698,12.744752851988638,100.92648167257535
SAMP,3.6216112934074225,98.71471825219027,3.6349082302923215,98.66018216454444
SAND,5.8424045771927675,118.12058360720964,5.85009464577469,118.05492735877162
SEGA,2.486297495456256,102.7320416969729,2.4470703142862575,102.7232816962481
SELM,5.2171313750866295,100.69477960190824,4.9750768100283045,101.13602619317334
SGPT,5.643577679271172,100.48837662615861,5.403035998697203,100.95666105605838
SHAO,31.099643288848313,121.20044228631184,31.054142909384154,121.11458987313324
TAWX,4.262774946117503,117.88164735136301,4.197275027961538,117.84626629860877
TGPG,1.3674107841064829,104.10825970653958,1.4254619250007825,104.21943051243387
TIDB,-35.39920663287695,148.97999738774092,-35.291025616731766,148.91492474713164
TLOH,3.4494503252151114,102.41936600618905,3.3548552694266514,102.71248088255979
TNML,24.797954748303113,120.98734463326433,24.774598985645895,120.82728763094575
UMAS,1.468309817109137,110.42469823562242,1.462278030205855,110.40670411742694
UMSS,6.039233087495469,116.11202985396304,5.9601183140963,116.03543645567257
UPMS,2.993395704278404,101.72351081088473,2.8319472440109603,102.08520902359888
USMP,5.3577881876433775,100.30403792007677,5.426629285798681,100.20523072831496
UTMJ,1.5658149661504863,103.63956371381234,1.5679447196906784,103.44453387619934
UUMK,6.4621822901816035,100.50633747916098,6.216600428002225,100.95323470771748
VILL,40.44359241821777,-3.9519805583301735,40.48841025832356,-4.005962741720207
WATP,-0.8735552974682371,119.58705735109946,-0.8533545795364973,119.51750521105212
WUHN,30.531653411798366,114.35726013472473,30.52413430912454,114.26654025511621
YELL,62.480894467921196,-114.48069958781312,62.466173294307744,-114.4325065862237
